Department,Year,FTEs,Headcount,Average Age,Tenure,Average sick and domestic leave taken per employee (days),Average leave balance (days),Percentage of staff with a leave balance of over 5 weeks,Gross Turnover,Unplanned Turnover,Unplanned turnover of staff with less than 2 years tenure,Number of fixed term staff,Percentage of fixed term staff,Number of Managers,Percentage of Managers,Number of Women,Percentage of Women,Number of Maori staff,Percentage of Maori staff,Number of Asian staff,Percentage of Asian staff,Number of Pacific staff,Percentage of Pacific staff
Ministry of Agriculture & Forestry,2000,"1,019.4","1,036",41.00,10.20,,,,,,,38,3.67,,,411,39.70,18,2.34,24,3.13,12,1.56
Ministry of Agriculture & Forestry,2001,"1,192.1","1,208",40.80,9.00,,,,,8.00,9.00,27,2.24,,,474,39.20,46,4.37,55,5.22,33,3.13
Ministry of Agriculture & Forestry,2002,"1,218.7","1,241",41.60,9.20,,,,,8.00,9.00,41,3.30,,,496,40.00,44,4.17,59,5.59,37,3.50
Ministry of Agriculture & Forestry,2003,"1,291.3","1,316",41.80,9.30,4.90,15.60,19.70,,7.00,10.00,45,3.42,,,534,40.60,61,5.04,80,6.61,44,3.64
Ministry of Agriculture & Forestry,2004,"1,354.9","1,384",42.20,9.40,5.70,15.40,19.70,,8.00,13.00,71,5.13,,,566,40.90,60,4.89,85,6.93,44,3.59
Ministry of Agriculture & Forestry,2005,"1,480.5","1,525",41.90,8.80,5.00,14.40,16.80,,10.00,12.00,52,3.41,,,658,43.10,64,4.67,108,7.89,49,3.58
Ministry of Agriculture & Forestry,2006,"1,556.3","1,615",42.00,8.50,4.80,14.40,16.40,,9.00,13.00,41,2.54,,,717,44.40,74,4.91,122,8.10,53,3.52
Ministry of Agriculture & Forestry,2007,"1,591.6","1,646",42.50,8.70,3.00,16.20,20.10,,10.00,15.00,57,3.46,230,14.00,757,46.00,69,4.47,123,7.98,49,3.18
Ministry of Agriculture & Forestry,2008,"1,214.6","1,265",41.50,8.00,5.50,15.80,20.20,,10.00,13.00,55,4.35,161,12.70,589,46.60,54,4.56,107,9.03,46,3.88
Ministry of Agriculture & Forestry,2009,"1,295.2","1,365",42.00,7.80,6.80,14.90,15.50,,8.00,10.00,43,3.15,212,15.50,632,46.30,76,5.89,131,10.16,51,3.95
Ministry of Agriculture & Forestry,2010,"1,259.3","1,329",42.80,8.60,6.80,14.50,14.00,,8.00,14.00,73,5.49,219,16.50,622,46.80,78,6.15,124,9.77,48,3.78
Archives New Zealand,2001,93.5,105,39.47,0.65,,,,,,18.00,5,4.76,,,57,54.29,9,8.57,3,2.86,8,7.62
Archives New Zealand,2002,110.3,123,39.44,1.46,,,,21.05,12.62,12.68,17,13.82,,,68,55.28,10,8.20,4,3.28,9,7.38
Archives New Zealand,2003,108.7,120,40.09,2.37,3.33,15.04,13.25,13.17,9.66,11.02,19,15.83,,,67,55.83,10,8.40,3,2.52,8,6.72
Archives New Zealand,2004,109.4,118,40.41,3.01,6.03,14.81,14.46,16.81,12.00,10.26,19,16.10,,,67,56.78,12,10.26,4,3.42,7,5.98
Archives New Zealand,2005,100.5,108,41.22,3.54,3.72,6.60,,23.01,13.79,13.95,4,3.70,,,59,54.63,10,9.62,3,2.88,7,6.73
Archives New Zealand,2006,100.4,109,40.10,6.75,4.11,13.47,17.50,26.73,19.80,25.93,11,10.09,,,60,55.05,12,11.01,2,1.83,7,6.42
Archives New Zealand,2007,109.4,117,40.95,6.17,5.77,13.92,14.74,30.97,15.02,17.65,2,1.71,14,11.97,72,61.54,12,10.26,3,2.56,7,5.98
